id,idn,q0,q1,q2
0,18025,0,-10,0
1,18023,0,-10,0
2,23137,0,-10,0
3,27038,0,-10,0
4,30939,0,-10,0
5,34840,0,-10,0
6,38741,0,-10,0
7,42642,0,-10,0
8,46543,0,-10,0
9,50444,0,-10,0
10,54345,0,-10,0
