Point ID,Points:0,Points:1,Points:2
13113,0,35,1.25
13116,0,33.75,5
13118,0,35,3.75
13121,0,33.75,7.5
13123,0,35,6.25
13126,0,33.75,10
13128,0,35,8.75
13131,0,33.75,12.5
13133,0,35,11.25
13136,0,36.25,0
13139,0,36.25,2.5
13141,0,37.5,1.25
13144,0,36.25,5
13146,0,37.5,3.75
13149,0,36.25,7.5
13151,0,37.5,6.25
13154,0,36.25,10
13156,0,37.5,8.75
13159,0,36.25,12.5
13161,0,37.5,11.25
13164,0,38.75,0
13167,0,38.75,2.5
13169,0,40,1.25
13172,0,38.75,5
13174,0,40,3.75
13177,0,38.75,7.5
13179,0,40,6.25
13182,0,38.75,10
13184,0,40,8.75
13187,0,38.75,12.5
13189,0,40,11.25
13192,0,41.25,0
13195,0,41.25,2.5
13197,0,42.5,1.25
13200,0,41.25,5
13202,0,42.5,3.75
13205,0,41.25,7.5
13207,0,42.5,6.25
13210,0,41.25,10
13212,0,42.5,8.75
13215,0,41.25,12.5
13217,0,42.5,11.25
13220,0,43.75,0
13223,0,43.75,2.5
13225,0,45,1.25
13228,0,43.75,5
13230,0,45,3.75
13233,0,43.75,7.5
13235,0,45,6.25
13238,0,43.75,10
13240,0,45,8.75
13243,0,43.75,12.5
13245,0,45,11.25
13248,0,46.25,0
13251,0,46.25,2.5
13253,0,47.5,1.25
13256,0,46.25,5
13258,0,47.5,3.75
13261,0,46.25,7.5
13263,0,47.5,6.25
13266,0,46.25,10
13268,0,47.5,8.75
13271,0,46.25,12.5
13273,0,47.5,11.25
13276,0,48.75,0
13279,0,48.75,2.5
13281,0,50,1.25
13284,0,48.75,5
13286,0,50,3.75
13289,0,48.75,7.5
13291,0,50,6.25
13294,0,48.75,10
13296,0,50,8.75
13299,0,48.75,12.5
13301,0,50,11.25
