id,idn,u0,u1,u2
254,13057,0,0,0
255,13060,0,0,0
256,13062,0,0,0
257,13065,0,0,0
258,13067,0,0,0
259,13070,0,0,0
260,13072,0,0,0
261,13075,0,0,0
262,13077,0,0,0
263,13080,0,0,0
264,13083,0,0,0
265,13085,0,0,0
266,13088,0,0,0
267,13090,0,0,0
268,13093,0,0,0
269,13095,0,0,0
270,13098,0,0,0
271,13100,0,0,0
272,13103,0,0,0
273,13105,0,0,0
274,13108,0,0,0
275,13111,0,0,0
276,13113,0,0,0
277,13116,0,0,0
278,13118,0,0,0
279,13121,0,0,0
280,13123,0,0,0
281,13126,0,0,0
282,13128,0,0,0
283,13131,0,0,0
284,13133,0,0,0
285,13136,0,0,0
286,13139,0,0,0
287,13141,0,0,0
288,13144,0,0,0
289,13146,0,0,0
290,13149,0,0,0
291,13151,0,0,0
292,13154,0,0,0
293,13156,0,0,0
294,13159,0,0,0
295,13161,0,0,0
296,13164,0,0,0
297,13167,0,0,0
298,13169,0,0,0
299,13172,0,0,0
300,13174,0,0,0
301,13177,0,0,0
302,13179,0,0,0
303,13182,0,0,0
304,13184,0,0,0
305,13187,0,0,0
306,13189,0,0,0
307,13192,0,0,0
308,13195,0,0,0
309,13197,0,0,0
310,13200,0,0,0
311,13202,0,0,0
312,13205,0,0,0
313,13207,0,0,0
314,13210,0,0,0
315,13212,0,0,0
316,13215,0,0,0
317,13217,0,0,0
318,13220,0,0,0
319,13223,0,0,0
320,13225,0,0,0
321,13228,0,0,0
322,13230,0,0,0
323,13233,0,0,0
324,13235,0,0,0
325,13238,0,0,0
326,13240,0,0,0
327,13243,0,0,0
328,13245,0,0,0
329,13248,0,0,0
330,13251,0,0,0
331,13253,0,0,0
332,13256,0,0,0
333,13258,0,0,0
334,13261,0,0,0
335,13263,0,0,0
336,13266,0,0,0
337,13268,0,0,0
338,13271,0,0,0
339,13273,0,0,0
340,13276,0,0,0
341,13279,0,0,0
342,13281,0,0,0
343,13284,0,0,0
344,13286,0,0,0
345,13289,0,0,0
346,13291,0,0,0
347,13294,0,0,0
348,13296,0,0,0
349,13299,0,0,0
350,13301,0,0,0
