Ide,E,v,t
290,210000,0.3,1
291,210000,0.3,1
292,210000,0.3,1
293,210000,0.3,1
294,210000,0.3,1
295,210000,0.3,1
296,210000,0.3,1
297,210000,0.3,1
298,210000,0.3,1
299,210000,0.3,1
300,210000,0.3,1
301,210000,0.3,1
302,210000,0.3,1
303,210000,0.3,1
304,210000,0.3,1
305,210000,0.3,1
306,210000,0.3,1
307,210000,0.3,1
308,210000,0.3,1
309,210000,0.3,1
310,210000,0.3,1
311,210000,0.3,1
312,210000,0.3,1
313,210000,0.3,1
314,210000,0.3,1
315,210000,0.3,1
316,210000,0.3,1
317,210000,0.3,1
318,210000,0.3,1
319,210000,0.3,1
320,210000,0.3,1
321,210000,0.3,1
322,210000,0.3,1
323,210000,0.3,1
324,210000,0.3,1
325,210000,0.3,1
326,210000,0.3,1
327,210000,0.3,1
328,210000,0.3,1
329,210000,0.3,1
330,210000,0.3,1
331,210000,0.3,1
332,210000,0.3,1
333,210000,0.3,1
334,210000,0.3,1
335,210000,0.3,1
336,210000,0.3,1
337,210000,0.3,1
338,210000,0.3,1
339,210000,0.3,1
340,210000,0.3,1
341,210000,0.3,1
342,210000,0.3,1
343,210000,0.3,1
344,210000,0.3,1
345,210000,0.3,1
346,210000,0.3,1
347,210000,0.3,1
348,210000,0.3,1
349,210000,0.3,1
350,210000,0.3,1
351,210000,0.3,1
352,210000,0.3,1
353,210000,0.3,1
354,210000,0.3,1
355,210000,0.3,1
356,210000,0.3,1
357,210000,0.3,1
358,210000,0.3,1
359,210000,0.3,1
360,210000,0.3,1
361,210000,0.3,1
362,210000,0.3,1
363,210000,0.3,1
364,210000,0.3,1
365,210000,0.3,1
366,210000,0.3,1
367,210000,0.3,1
368,210000,0.3,1
369,210000,0.3,1
370,210000,0.3,1
371,210000,0.3,1
372,210000,0.3,1
373,210000,0.3,1
374,210000,0.3,1
375,210000,0.3,1
376,210000,0.3,1
377,210000,0.3,1
378,210000,0.3,1
379,210000,0.3,1
380,210000,0.3,1
381,210000,0.3,1
382,210000,0.3,1
383,210000,0.3,1
384,210000,0.3,1
385,210000,0.3,1
386,210000,0.3,1
387,210000,0.3,1
388,210000,0.3,1
389,210000,0.3,1
390,210000,0.3,1
391,210000,0.3,1
392,210000,0.3,1
393,210000,0.3,1
394,210000,0.3,1
395,210000,0.3,1
396,210000,0.3,1
397,210000,0.3,1
398,210000,0.3,1
399,210000,0.3,1
400,210000,0.3,1
401,210000,0.3,1
402,210000,0.3,1
403,210000,0.3,1
404,210000,0.3,1
405,210000,0.3,1
406,210000,0.3,1
407,210000,0.3,1
408,210000,0.3,1
409,210000,0.3,1
410,210000,0.3,1
411,210000,0.3,1
412,210000,0.3,1
413,210000,0.3,1
414,210000,0.3,1
415,210000,0.3,1
416,210000,0.3,1
417,210000,0.3,1
418,210000,0.3,1
419,210000,0.3,1
420,210000,0.3,1
421,210000,0.3,1
422,210000,0.3,1
423,210000,0.3,1
424,210000,0.3,1
425,210000,0.3,1
426,210000,0.3,1
427,210000,0.3,1
428,210000,0.3,1
429,210000,0.3,1
430,210000,0.3,1
431,210000,0.3,1
432,210000,0.3,1
433,210000,0.3,1
434,210000,0.3,1
435,210000,0.3,1
436,210000,0.3,1
437,210000,0.3,1
438,210000,0.3,1
439,210000,0.3,1
440,210000,0.3,1
441,210000,0.3,1
442,210000,0.3,1
443,210000,0.3,1
444,210000,0.3,1
445,210000,0.3,1
446,210000,0.3,1
447,210000,0.3,1
448,210000,0.3,1
449,210000,0.3,1
450,210000,0.3,1
451,210000,0.3,1
452,210000,0.3,1
453,210000,0.3,1
454,210000,0.3,1
455,210000,0.3,1
456,210000,0.3,1
457,210000,0.3,1
458,210000,0.3,1
459,210000,0.3,1
460,210000,0.3,1
461,210000,0.3,1
462,210000,0.3,1
463,210000,0.3,1
464,210000,0.3,1
465,210000,0.3,1
466,210000,0.3,1
467,210000,0.3,1
468,210000,0.3,1
469,210000,0.3,1
470,210000,0.3,1
471,210000,0.3,1
472,210000,0.3,1
473,210000,0.3,1
474,210000,0.3,1
475,210000,0.3,1
476,210000,0.3,1
477,210000,0.3,1
478,210000,0.3,1
479,210000,0.3,1
480,210000,0.3,1
481,210000,0.3,1
482,210000,0.3,1
483,210000,0.3,1
484,210000,0.3,1
485,210000,0.3,1
486,210000,0.3,1
487,210000,0.3,1
488,210000,0.3,1
489,210000,0.3,1
490,210000,0.3,1
491,210000,0.3,1
492,210000,0.3,1
493,210000,0.3,1
494,210000,0.3,1
495,210000,0.3,1
496,210000,0.3,1
497,210000,0.3,1
498,210000,0.3,1
499,210000,0.3,1
500,210000,0.3,1
501,210000,0.3,1
502,210000,0.3,1
503,210000,0.3,1
504,210000,0.3,1
505,210000,0.3,1
506,210000,0.3,1
507,210000,0.3,1
508,210000,0.3,1
509,210000,0.3,1
510,210000,0.3,1
511,210000,0.3,1
512,210000,0.3,1
513,210000,0.3,1
514,210000,0.3,1
515,210000,0.3,1
516,210000,0.3,1
517,210000,0.3,1
518,210000,0.3,1
519,210000,0.3,1
520,210000,0.3,1
521,210000,0.3,1
522,210000,0.3,1
523,210000,0.3,1
524,210000,0.3,1
525,210000,0.3,1
526,210000,0.3,1
527,210000,0.3,1
528,210000,0.3,1
529,210000,0.3,1
530,210000,0.3,1
531,210000,0.3,1
532,210000,0.3,1
533,210000,0.3,1
534,210000,0.3,1
535,210000,0.3,1
536,210000,0.3,1
537,210000,0.3,1
538,210000,0.3,1
539,210000,0.3,1
540,210000,0.3,1
541,210000,0.3,1
542,210000,0.3,1
543,210000,0.3,1
544,210000,0.3,1
545,210000,0.3,1
546,210000,0.3,1
547,210000,0.3,1
548,210000,0.3,1
549,210000,0.3,1
550,210000,0.3,1
551,210000,0.3,1
552,210000,0.3,1
553,210000,0.3,1
554,210000,0.3,1
555,210000,0.3,1
556,210000,0.3,1
557,210000,0.3,1
558,210000,0.3,1
559,210000,0.3,1
560,210000,0.3,1
561,210000,0.3,1
562,210000,0.3,1
563,210000,0.3,1
564,210000,0.3,1
565,210000,0.3,1
566,210000,0.3,1
567,210000,0.3,1
568,210000,0.3,1
569,210000,0.3,1
570,210000,0.3,1
571,210000,0.3,1
572,210000,0.3,1
573,210000,0.3,1
574,210000,0.3,1
575,210000,0.3,1
576,210000,0.3,1
577,210000,0.3,1
578,210000,0.3,1
579,210000,0.3,1
580,210000,0.3,1
581,210000,0.3,1
582,210000,0.3,1
583,210000,0.3,1
584,210000,0.3,1
585,210000,0.3,1
586,210000,0.3,1
587,210000,0.3,1
588,210000,0.3,1
589,210000,0.3,1
590,210000,0.3,1
591,210000,0.3,1
592,210000,0.3,1
593,210000,0.3,1
594,210000,0.3,1
595,210000,0.3,1
596,210000,0.3,1
597,210000,0.3,1
598,210000,0.3,1
599,210000,0.3,1
600,210000,0.3,1
601,210000,0.3,1
602,210000,0.3,1
603,210000,0.3,1
604,210000,0.3,1
605,210000,0.3,1
606,210000,0.3,1
607,210000,0.3,1
608,210000,0.3,1
609,210000,0.3,1
610,210000,0.3,1
611,210000,0.3,1
612,210000,0.3,1
613,210000,0.3,1
614,210000,0.3,1
615,210000,0.3,1
616,210000,0.3,1
617,210000,0.3,1
618,210000,0.3,1
619,210000,0.3,1
620,210000,0.3,1
621,210000,0.3,1
622,210000,0.3,1
623,210000,0.3,1
624,210000,0.3,1
625,210000,0.3,1
626,210000,0.3,1
627,210000,0.3,1
628,210000,0.3,1
629,210000,0.3,1
630,210000,0.3,1
631,210000,0.3,1
632,210000,0.3,1
633,210000,0.3,1
634,210000,0.3,1
635,210000,0.3,1
636,210000,0.3,1
637,210000,0.3,1
638,210000,0.3,1
639,210000,0.3,1
640,210000,0.3,1
641,210000,0.3,1
642,210000,0.3,1
643,210000,0.3,1
644,210000,0.3,1
645,210000,0.3,1
646,210000,0.3,1
647,210000,0.3,1
648,210000,0.3,1
649,210000,0.3,1
650,210000,0.3,1
651,210000,0.3,1
652,210000,0.3,1
653,210000,0.3,1
654,210000,0.3,1
655,210000,0.3,1
656,210000,0.3,1
657,210000,0.3,1
658,210000,0.3,1
659,210000,0.3,1
660,210000,0.3,1
661,210000,0.3,1
662,210000,0.3,1
663,210000,0.3,1
664,210000,0.3,1
665,210000,0.3,1
666,210000,0.3,1
667,210000,0.3,1
668,210000,0.3,1
669,210000,0.3,1
670,210000,0.3,1
671,210000,0.3,1
672,210000,0.3,1
673,210000,0.3,1
674,210000,0.3,1
675,210000,0.3,1
676,210000,0.3,1
677,210000,0.3,1
678,210000,0.3,1
679,210000,0.3,1
680,210000,0.3,1
681,210000,0.3,1
682,210000,0.3,1
683,210000,0.3,1
684,210000,0.3,1
685,210000,0.3,1
686,210000,0.3,1
687,210000,0.3,1
688,210000,0.3,1
689,210000,0.3,1
690,210000,0.3,1
691,210000,0.3,1
692,210000,0.3,1
693,210000,0.3,1
694,210000,0.3,1
695,210000,0.3,1
696,210000,0.3,1
697,210000,0.3,1
698,210000,0.3,1
699,210000,0.3,1
700,210000,0.3,1
701,210000,0.3,1
702,210000,0.3,1
703,210000,0.3,1
704,210000,0.3,1
705,210000,0.3,1
706,210000,0.3,1
707,210000,0.3,1
708,210000,0.3,1
709,210000,0.3,1
710,210000,0.3,1
711,210000,0.3,1
712,210000,0.3,1
713,210000,0.3,1
714,210000,0.3,1
715,210000,0.3,1
716,210000,0.3,1
717,210000,0.3,1
718,210000,0.3,1
719,210000,0.3,1
720,210000,0.3,1
721,210000,0.3,1
722,210000,0.3,1
723,210000,0.3,1
724,210000,0.3,1
725,210000,0.3,1
726,210000,0.3,1
727,210000,0.3,1
728,210000,0.3,1
729,210000,0.3,1
730,210000,0.3,1
731,210000,0.3,1
732,210000,0.3,1
733,210000,0.3,1
734,210000,0.3,1
735,210000,0.3,1
736,210000,0.3,1
737,210000,0.3,1
738,210000,0.3,1
739,210000,0.3,1
740,210000,0.3,1
741,210000,0.3,1
742,210000,0.3,1
743,210000,0.3,1
744,210000,0.3,1
745,210000,0.3,1
746,210000,0.3,1
747,210000,0.3,1
748,210000,0.3,1
749,210000,0.3,1
750,210000,0.3,1
751,210000,0.3,1
752,210000,0.3,1
753,210000,0.3,1
754,210000,0.3,1
755,210000,0.3,1
756,210000,0.3,1
757,210000,0.3,1
758,210000,0.3,1
759,210000,0.3,1
