ID,x0,x1,u0,u1
267,15,52.5,0,1
268,15,55,0,1
269,15,57.5,0,1
270,15,60,0,1
271,15,62.5,0,1
272,15,65,0,1
273,15,67.5,0,1
274,15,70,0,1
275,15,72.5,0,1
276,15,75,0,1
277,15,77.5,0,1
278,15,80,0,1
279,15,82.5,0,1
280,15,85,0,1
281,15,87.5,0,1
282,15,90,0,1
283,15,92.5,0,1
284,15,95,0,1
285,15,97.5,0,1
286,15,100,0,1
287,17.5,0,0,1
288,17.5,2.5,0,1
289,17.5,5,0,1
290,17.5,7.5,0,1
291,17.5,10,0,1
292,17.5,12.5,0,1
293,17.5,15,0,1
294,17.5,17.5,0,1
295,17.5,20,0,1
296,17.5,22.5,0,1
297,17.5,25,0,1
298,17.5,27.5,0,1
299,17.5,30,0,1
300,17.5,32.5,0,1
301,17.5,35,0,1
302,17.5,37.5,0,1
303,17.5,40,0,1
304,17.5,42.5,0,1
305,17.5,45,0,1
306,17.5,47.5,0,1
307,17.5,50,0,1
308,17.5,52.5,0,1
309,17.5,55,0,1
310,17.5,57.5,0,1
311,17.5,60,0,1
312,17.5,62.5,0,1
313,17.5,65,0,1
314,17.5,67.5,0,1
315,17.5,70,0,1
316,17.5,72.5,0,1
317,17.5,75,0,1
318,17.5,77.5,0,1
319,17.5,80,0,1
320,17.5,82.5,0,1
321,17.5,85,0,1
322,17.5,87.5,0,1
323,17.5,90,0,1
324,17.5,92.5,0,1
325,17.5,95,0,1
326,17.5,97.5,0,1
327,17.5,100,0,1
328,20,0,0,1
329,20,2.5,0,1
330,20,5,0,1
331,20,7.5,0,1
332,20,10,0,1
333,20,12.5,0,1
334,20,15,0,1
335,20,17.5,0,1
336,20,20,0,1
337,20,22.5,0,1
338,20,25,0,1
339,20,27.5,0,1
340,20,30,0,1
341,20,32.5,0,1
342,20,35,0,1
343,20,37.5,0,1
344,20,40,0,1
345,20,42.5,0,1
346,20,45,0,1
347,20,47.5,0,1
348,20,50,0,1
349,20,52.5,0,1
350,20,55,0,1
351,20,57.5,0,1
352,20,60,0,1
353,20,62.5,0,1
354,20,65,0,1
355,20,67.5,0,1
356,20,70,0,1
357,20,72.5,0,1
358,20,75,0,1
359,20,77.5,0,1
360,20,80,0,1
361,20,82.5,0,1
362,20,85,0,1
363,20,87.5,0,1
364,20,90,0,1
365,20,92.5,0,1
366,20,95,0,1
367,20,97.5,0,1
368,20,100,0,1
369,22.5,0,0,1
370,22.5,2.5,0,1
371,22.5,5,0,1
372,22.5,7.5,0,1
373,22.5,10,0,1
374,22.5,12.5,0,1
375,22.5,15,0,1
376,22.5,17.5,0,1
377,22.5,20,0,1
378,22.5,22.5,0,1
379,22.5,25,0,1
380,22.5,27.5,0,1
381,22.5,30,0,1
382,22.5,32.5,0,1
383,22.5,35,0,1
384,22.5,37.5,0,1
385,22.5,40,0,1
386,22.5,42.5,0,1
387,22.5,45,0,1
388,22.5,47.5,0,1
389,22.5,50,0,1
390,22.5,52.5,0,1
391,22.5,55,0,1
