ID,x0,x1,x2,u0,u1,u2
199,2.5,45,0,0,1,2
200,5,45,0,0,1,2
201,7.5,45,0,0,1,2
202,10,45,0,0,1,2
203,12.5,45,0,0,1,2
204,15,45,0,0,1,2
205,17.5,45,0,0,1,2
206,20,45,0,0,1,2
207,22.5,45,0,0,1,2
208,25,45,0,0,1,2
209,0,47.5,0,0,1,2
210,2.5,47.5,0,0,1,2
211,5,47.5,0,0,1,2
212,7.5,47.5,0,0,1,2
213,10,47.5,0,0,1,2
214,12.5,47.5,0,0,1,2
215,15,47.5,0,0,1,2
216,17.5,47.5,0,0,1,2
217,20,47.5,0,0,1,2
218,22.5,47.5,0,0,1,2
219,25,47.5,0,0,1,2
220,0,50,0,0,1,2
221,2.5,50,0,0,1,2
222,5,50,0,0,1,2
223,7.5,50,0,0,1,2
224,10,50,0,0,1,2
225,12.5,50,0,0,1,2
226,15,50,0,0,1,2
227,17.5,50,0,0,1,2
228,20,50,0,0,1,2
229,22.5,50,0,0,1,2
230,25,50,0,0,1,2
231,0,52.5,0,0,1,2
232,2.5,52.5,0,0,1,2
233,5,52.5,0,0,1,2
234,7.5,52.5,0,0,1,2
235,10,52.5,0,0,1,2
236,12.5,52.5,0,0,1,2
237,15,52.5,0,0,1,2
238,17.5,52.5,0,0,1,2
239,20,52.5,0,0,1,2
240,22.5,52.5,0,0,1,2
241,25,52.5,0,0,1,2
242,0,55,0,0,1,2
243,2.5,55,0,0,1,2
244,5,55,0,0,1,2
245,7.5,55,0,0,1,2
246,10,55,0,0,1,2
247,12.5,55,0,0,1,2
248,15,55,0,0,1,2
249,17.5,55,0,0,1,2
250,20,55,0,0,1,2
251,22.5,55,0,0,1,2
252,25,55,0,0,1,2
253,0,57.5,0,0,1,2
254,2.5,57.5,0,0,1,2
255,5,57.5,0,0,1,2
256,7.5,57.5,0,0,1,2
257,10,57.5,0,0,1,2
258,12.5,57.5,0,0,1,2
259,15,57.5,0,0,1,2
260,17.5,57.5,0,0,1,2
261,20,57.5,0,0,1,2
262,22.5,57.5,0,0,1,2
263,25,57.5,0,0,1,2
264,0,60,0,0,1,2
265,2.5,60,0,0,1,2
266,5,60,0,0,1,2
267,7.5,60,0,0,1,2
268,10,60,0,0,1,2
269,12.5,60,0,0,1,2
270,15,60,0,0,1,2
271,17.5,60,0,0,1,2
272,20,60,0,0,1,2
273,22.5,60,0,0,1,2
274,25,60,0,0,1,2
275,0,62.5,0,0,1,2
276,2.5,62.5,0,0,1,2
277,5,62.5,0,0,1,2
278,7.5,62.5,0,0,1,2
279,10,62.5,0,0,1,2
280,12.5,62.5,0,0,1,2
281,15,62.5,0,0,1,2
282,17.5,62.5,0,0,1,2
283,20,62.5,0,0,1,2
284,22.5,62.5,0,0,1,2
285,25,62.5,0,0,1,2
286,0,0,2.5,0,1,2
287,2.5,0,2.5,0,1,2
288,5,0,2.5,0,1,2
289,7.5,0,2.5,0,1,2
290,10,0,2.5,0,1,2
291,12.5,0,2.5,0,1,2
292,15,0,2.5,0,1,2
293,17.5,0,2.5,0,1,2
294,20,0,2.5,0,1,2
295,22.5,0,2.5,0,1,2
296,25,0,2.5,0,1,2
297,0,2.5,2.5,0,1,2
298,2.5,2.5,2.5,0,1,2
299,5,2.5,2.5,0,1,2
300,7.5,2.5,2.5,0,1,2
301,10,2.5,2.5,0,1,2
302,12.5,2.5,2.5,0,1,2
