id,idn,q0,q1,q2
0,0,0.000146649,0.000146649,0.000146649
1,1,0.000146649,0.000146649,0.000146649
2,2,0.000146649,0.000146649,0.000146649
3,3,0.000146649,0.000146649,0.000146649
4,4,0.000146649,0.000146649,0.000146649
5,5,0.000146649,0.000146649,0.000146649
6,6,0.000146649,0.000146649,0.000146649
7,15,0.000146649,0.000146649,0.000146649
8,17,0.000146649,0.000146649,0.000146649
9,19,0.000146649,0.000146649,0.000146649
10,57,0.000146649,0.000146649,0.000146649
11,238,0.000146649,0.000146649,0.000146649
12,239,0.000146649,0.000146649,0.000146649
13,240,0.000146649,0.000146649,0.000146649
14,241,0.000146649,0.000146649,0.000146649
15,242,0.000146649,0.000146649,0.000146649
16,243,0.000146649,0.000146649,0.000146649
17,244,0.000146649,0.000146649,0.000146649
18,245,0.000146649,0.000146649,0.000146649
19,246,0.000146649,0.000146649,0.000146649
20,247,0.000146649,0.000146649,0.000146649
21,248,0.000146649,0.000146649,0.000146649
22,249,0.000146649,0.000146649,0.000146649
23,250,0.000146649,0.000146649,0.000146649
24,251,0.000146649,0.000146649,0.000146649
25,252,0.000146649,0.000146649,0.000146649
26,253,0.000146649,0.000146649,0.000146649
27,254,0.000146649,0.000146649,0.000146649
28,255,0.000146649,0.000146649,0.000146649
29,256,0.000146649,0.000146649,0.000146649
30,257,0.000146649,0.000146649,0.000146649
31,258,0.000146649,0.000146649,0.000146649
32,259,0.000146649,0.000146649,0.000146649
33,260,0.000146649,0.000146649,0.000146649
34,261,0.000146649,0.000146649,0.000146649
35,262,0.000146649,0.000146649,0.000146649
36,263,0.000146649,0.000146649,0.000146649
37,264,0.000146649,0.000146649,0.000146649
38,265,0.000146649,0.000146649,0.000146649
39,266,0.000146649,0.000146649,0.000146649
40,267,0.000146649,0.000146649,0.000146649
41,268,0.000146649,0.000146649,0.000146649
42,269,0.000146649,0.000146649,0.000146649
43,270,0.000146649,0.000146649,0.000146649
44,271,0.000146649,0.000146649,0.000146649
45,272,0.000146649,0.000146649,0.000146649
46,273,0.000146649,0.000146649,0.000146649
47,274,0.000146649,0.000146649,0.000146649
48,275,0.000146649,0.000146649,0.000146649
49,276,0.000146649,0.000146649,0.000146649
50,277,0.000146649,0.000146649,0.000146649
51,278,0.000146649,0.000146649,0.000146649
52,279,0.000146649,0.000146649,0.000146649
53,280,0.000146649,0.000146649,0.000146649
54,281,0.000146649,0.000146649,0.000146649
55,283,0.000146649,0.000146649,0.000146649
56,284,0.000146649,0.000146649,0.000146649
57,285,0.000146649,0.000146649,0.000146649
58,286,0.000146649,0.000146649,0.000146649
59,287,0.000146649,0.000146649,0.000146649
60,288,0.000146649,0.000146649,0.000146649
61,358,0.000146649,0.000146649,0.000146649
62,359,0.000146649,0.000146649,0.000146649
63,360,0.000146649,0.000146649,0.000146649
64,361,0.000146649,0.000146649,0.000146649
65,370,0.000146649,0.000146649,0.000146649
66,371,0.000146649,0.000146649,0.000146649
67,372,0.000146649,0.000146649,0.000146649
68,373,0.000146649,0.000146649,0.000146649
69,374,0.000146649,0.000146649,0.000146649
70,378,0.000146649,0.000146649,0.000146649
71,379,0.000146649,0.000146649,0.000146649
72,380,0.000146649,0.000146649,0.000146649
73,381,0.000146649,0.000146649,0.000146649
74,382,0.000146649,0.000146649,0.000146649
75,383,0.000146649,0.000146649,0.000146649
76,384,0.000146649,0.000146649,0.000146649
77,385,0.000146649,0.000146649,0.000146649
78,391,0.000146649,0.000146649,0.000146649
79,392,0.000146649,0.000146649,0.000146649
80,393,0.000146649,0.000146649,0.000146649
81,408,0.000146649,0.000146649,0.000146649
82,409,0.000146649,0.000146649,0.000146649
83,410,0.000146649,0.000146649,0.000146649
84,411,0.000146649,0.000146649,0.000146649
85,412,0.000146649,0.000146649,0.000146649
86,415,0.000146649,0.000146649,0.000146649
87,416,0.000146649,0.000146649,0.000146649
88,417,0.000146649,0.000146649,0.000146649
89,418,0.000146649,0.000146649,0.000146649
90,419,0.000146649,0.000146649,0.000146649
91,422,0.000146649,0.000146649,0.000146649
92,423,0.000146649,0.000146649,0.000146649
93,424,0.000146649,0.000146649,0.000146649
94,435,0.000146649,0.000146649,0.000146649
95,436,0.000146649,0.000146649,0.000146649
96,437,0.000146649,0.000146649,0.000146649
97,440,0.000146649,0.000146649,0.000146649
