id,idn,u0,u1,u2
0,0,0,0,0
1,8,0,free,free
2,12,0,free,free
3,16,0,free,free
4,20,0,free,free
5,24,0,free,free
6,28,0,free,free
7,32,0,free,free
8,36,0,free,free
9,40,0,free,free
10,44,0,free,free
11,48,0,free,free
12,52,0,free,free
13,56,0,free,free
