ID,x0,x1,x2,u0,u1,u2
222,1,0,3.5,0,1,2
223,1,1,3.5,0,1,2
224,0,1,3.5,0,1,2
225,0.5,0,5,0,1,2
226,1,0.5,5,0,1,2
227,0.5,1,5,0,1,2
228,0,0.5,5,0,1,2
229,0,0,4.5,0,1,2
230,1,0,4.5,0,1,2
231,1,1,4.5,0,1,2
232,0,1,4.5,0,1,2
233,0.5,0,6,0,1,2
234,1,0.5,6,0,1,2
235,0.5,1,6,0,1,2
236,0,0.5,6,0,1,2
237,0,0,5.5,0,1,2
238,1,0,5.5,0,1,2
239,1,1,5.5,0,1,2
240,0,1,5.5,0,1,2
241,0.5,0,7,0,1,2
242,1,0.5,7,0,1,2
243,0.5,1,7,0,1,2
244,0,0.5,7,0,1,2
245,0,0,6.5,0,1,2
246,1,0,6.5,0,1,2
247,1,1,6.5,0,1,2
248,0,1,6.5,0,1,2
249,0.5,0,8,0,1,2
250,1,0.5,8,0,1,2
251,0.5,1,8,0,1,2
252,0,0.5,8,0,1,2
253,0,0,7.5,0,1,2
254,1,0,7.5,0,1,2
255,1,1,7.5,0,1,2
256,0,1,7.5,0,1,2
257,0.5,0,9,0,1,2
258,1,0.5,9,0,1,2
259,0.5,1,9,0,1,2
260,0,0.5,9,0,1,2
261,0,0,8.5,0,1,2
262,1,0,8.5,0,1,2
263,1,1,8.5,0,1,2
264,0,1,8.5,0,1,2
265,0.5,0,10,0,1,2
266,1,0.5,10,0,1,2
267,0.5,1,10,0,1,2
268,0,0.5,10,0,1,2
269,0,0,9.5,0,1,2
270,1,0,9.5,0,1,2
271,1,1,9.5,0,1,2
272,0,1,9.5,0,1,2
273,0.5,0,11,0,1,2
274,1,0.5,11,0,1,2
275,0.5,1,11,0,1,2
276,0,0.5,11,0,1,2
277,0,0,10.5,0,1,2
278,1,0,10.5,0,1,2
279,1,1,10.5,0,1,2
280,0,1,10.5,0,1,2
281,0.5,0,12,0,1,2
282,1,0.5,12,0,1,2
283,0.5,1,12,0,1,2
284,0,0.5,12,0,1,2
285,0,0,11.5,0,1,2
286,1,0,11.5,0,1,2
287,1,1,11.5,0,1,2
288,0,1,11.5,0,1,2
289,0.5,0,13,0,1,2
290,1,0.5,13,0,1,2
291,0.5,1,13,0,1,2
292,0,0.5,13,0,1,2
293,0,0,12.5,0,1,2
294,1,0,12.5,0,1,2
295,1,1,12.5,0,1,2
296,0,1,12.5,0,1,2
297,0.5,0,14,0,1,2
298,1,0.5,14,0,1,2
299,0.5,1,14,0,1,2
300,0,0.5,14,0,1,2
301,0,0,13.5,0,1,2
302,1,0,13.5,0,1,2
303,1,1,13.5,0,1,2
304,0,1,13.5,0,1,2
305,0.5,0,15,0,1,2
306,1,0.5,15,0,1,2
307,0.5,1,15,0,1,2
308,0,0.5,15,0,1,2
309,0,0,14.5,0,1,2
310,1,0,14.5,0,1,2
311,1,1,14.5,0,1,2
312,0,1,14.5,0,1,2
313,0.5,0,16,0,1,2
314,1,0.5,16,0,1,2
315,0.5,1,16,0,1,2
316,0,0.5,16,0,1,2
317,0,0,15.5,0,1,2
318,1,0,15.5,0,1,2
319,1,1,15.5,0,1,2
320,0,1,15.5,0,1,2
321,0.5,0,17,0,1,2
322,1,0.5,17,0,1,2
323,0.5,1,17,0,1,2
324,0,0.5,17,0,1,2
325,0,0,16.5,0,1,2
326,1,0,16.5,0,1,2
327,1,1,16.5,0,1,2
328,0,1,16.5,0,1,2
329,0.5,0,18,0,1,2
330,1,0.5,18,0,1,2
331,0.5,1,18,0,1,2
332,0,0.5,18,0,1,2
333,0,0,17.5,0,1,2
