id,ide,E,ƒË,t,rho
159,159,210000,0,0.01,7.80E-06
160,160,210000,0,0.01,7.80E-06
161,161,210000,0,0.01,7.80E-06
162,162,210000,0,0.01,7.80E-06
163,163,210000,0,0.01,7.80E-06
164,164,210000,0,0.01,7.80E-06
165,165,210000,0,0.01,7.80E-06
166,166,210000,0,0.01,7.80E-06
167,167,210000,0,0.01,7.80E-06
168,168,210000,0,0.01,7.80E-06
169,169,210000,0,0.01,7.80E-06
170,170,210000,0,0.01,7.80E-06
171,171,210000,0,0.01,7.80E-06
172,172,210000,0,0.01,7.80E-06
173,173,210000,0,0.01,7.80E-06
174,174,210000,0,0.01,7.80E-06
175,175,210000,0,0.01,7.80E-06
176,176,210000,0,0.01,7.80E-06
177,177,210000,0,0.01,7.80E-06
178,178,210000,0,0.01,7.80E-06
179,179,210000,0,0.01,7.80E-06
180,180,210000,0,0.01,7.80E-06
181,181,210000,0,0.01,7.80E-06
182,182,210000,0,0.01,7.80E-06
183,183,210000,0,0.01,7.80E-06
184,184,210000,0,0.01,7.80E-06
185,185,210000,0,0.01,7.80E-06
186,186,210000,0,0.01,7.80E-06
187,187,210000,0,0.01,7.80E-06
188,188,210000,0,0.01,7.80E-06
189,189,210000,0,0.01,7.80E-06
190,190,210000,0,0.01,7.80E-06
191,191,210000,0,0.01,7.80E-06
192,192,210000,0,0.01,7.80E-06
193,193,210000,0,0.01,7.80E-06
194,194,210000,0,0.01,7.80E-06
195,195,210000,0,0.01,7.80E-06
196,196,210000,0,0.01,7.80E-06
197,197,210000,0,0.01,7.80E-06
198,198,210000,0,0.01,7.80E-06
199,199,210000,0,0.01,7.80E-06
200,200,210000,0,0.01,7.80E-06
201,201,210000,0,0.01,7.80E-06
202,202,210000,0,0.01,7.80E-06
203,203,210000,0,0.01,7.80E-06
204,204,210000,0,0.01,7.80E-06
205,205,210000,0,0.01,7.80E-06
206,206,210000,0,0.01,7.80E-06
207,207,210000,0,0.01,7.80E-06
208,208,210000,0,0.01,7.80E-06
209,209,210000,0,0.01,7.80E-06
210,210,210000,0,0.01,7.80E-06
211,211,210000,0,0.01,7.80E-06
212,212,210000,0,0.01,7.80E-06
213,213,210000,0,0.01,7.80E-06
214,214,210000,0,0.01,7.80E-06
215,215,210000,0,0.01,7.80E-06
216,216,210000,0,0.01,7.80E-06
217,217,210000,0,0.01,7.80E-06
218,218,210000,0,0.01,7.80E-06
219,219,210000,0,0.01,7.80E-06
220,220,210000,0,0.01,7.80E-06
221,221,210000,0,0.01,7.80E-06
222,222,210000,0,0.01,7.80E-06
223,223,210000,0,0.01,7.80E-06
224,224,210000,0,0.01,7.80E-06
225,225,210000,0,0.01,7.80E-06
226,226,210000,0,0.01,7.80E-06
227,227,210000,0,0.01,7.80E-06
228,228,210000,0,0.01,7.80E-06
229,229,210000,0,0.01,7.80E-06
230,230,210000,0,0.01,7.80E-06
231,231,210000,0,0.01,7.80E-06
232,232,210000,0,0.01,7.80E-06
233,233,210000,0,0.01,7.80E-06
234,234,210000,0,0.01,7.80E-06
235,235,210000,0,0.01,7.80E-06
236,236,210000,0,0.01,7.80E-06
237,237,210000,0,0.01,7.80E-06
238,238,210000,0,0.01,7.80E-06
239,239,210000,0,0.01,7.80E-06
240,240,210000,0,0.01,7.80E-06
241,241,210000,0,0.01,7.80E-06
242,242,210000,0,0.01,7.80E-06
243,243,210000,0,0.01,7.80E-06
244,244,210000,0,0.01,7.80E-06
245,245,210000,0,0.01,7.80E-06
246,246,210000,0,0.01,7.80E-06
247,247,210000,0,0.01,7.80E-06
248,248,210000,0,0.01,7.80E-06
249,249,210000,0,0.01,7.80E-06
250,250,210000,0,0.01,7.80E-06
251,251,210000,0,0.01,7.80E-06
252,252,210000,0,0.01,7.80E-06
253,253,210000,0,0.01,7.80E-06
254,254,210000,0,0.01,7.80E-06
255,255,210000,0,0.01,7.80E-06
256,256,210000,0,0.01,7.80E-06
257,257,210000,0,0.01,7.80E-06
258,258,210000,0,0.01,7.80E-06
259,259,210000,0,0.01,7.80E-06
260,260,210000,0,0.01,7.80E-06
261,261,210000,0,0.01,7.80E-06
262,262,210000,0,0.01,7.80E-06
263,263,210000,0,0.01,7.80E-06
264,264,210000,0,0.01,7.80E-06
265,265,210000,0,0.01,7.80E-06
266,266,210000,0,0.01,7.80E-06
267,267,210000,0,0.01,7.80E-06
268,268,210000,0,0.01,7.80E-06
269,269,210000,0,0.01,7.80E-06
270,270,210000,0,0.01,7.80E-06
271,271,210000,0,0.01,7.80E-06
272,272,210000,0,0.01,7.80E-06
273,273,210000,0,0.01,7.80E-06
274,274,210000,0,0.01,7.80E-06
275,275,210000,0,0.01,7.80E-06
276,276,210000,0,0.01,7.80E-06
277,277,210000,0,0.01,7.80E-06
278,278,210000,0,0.01,7.80E-06
279,279,210000,0,0.01,7.80E-06
280,280,210000,0,0.01,7.80E-06
281,281,210000,0,0.01,7.80E-06
282,282,210000,0,0.01,7.80E-06
283,283,210000,0,0.01,7.80E-06
284,284,210000,0,0.01,7.80E-06
285,285,210000,0,0.01,7.80E-06
286,286,210000,0,0.01,7.80E-06
287,287,210000,0,0.01,7.80E-06
288,288,210000,0,0.01,7.80E-06
289,289,210000,0,0.01,7.80E-06
290,290,210000,0,0.01,7.80E-06
291,291,210000,0,0.01,7.80E-06
292,292,210000,0,0.01,7.80E-06
293,293,210000,0,0.01,7.80E-06
294,294,210000,0,0.01,7.80E-06
295,295,210000,0,0.01,7.80E-06
296,296,210000,0,0.01,7.80E-06
297,297,210000,0,0.01,7.80E-06
298,298,210000,0,0.01,7.80E-06
299,299,210000,0,0.01,7.80E-06
300,300,210000,0,0.01,7.80E-06
301,301,210000,0,0.01,7.80E-06
302,302,210000,0,0.01,7.80E-06
303,303,210000,0,0.01,7.80E-06
304,304,210000,0,0.01,7.80E-06
305,305,210000,0,0.01,7.80E-06
306,306,210000,0,0.01,7.80E-06
307,307,210000,0,0.01,7.80E-06
308,308,210000,0,0.01,7.80E-06
309,309,210000,0,0.01,7.80E-06
310,310,210000,0,0.01,7.80E-06
311,311,210000,0,0.01,7.80E-06
312,312,210000,0,0.01,7.80E-06
313,313,210000,0,0.01,7.80E-06
314,314,210000,0,0.01,7.80E-06
315,315,210000,0,0.01,7.80E-06
316,316,210000,0,0.01,7.80E-06
317,317,210000,0,0.01,7.80E-06
318,318,210000,0,0.01,7.80E-06
319,319,210000,0,0.01,7.80E-06
320,320,210000,0,0.01,7.80E-06
321,321,210000,0,0.01,7.80E-06
322,322,210000,0,0.01,7.80E-06
323,323,210000,0,0.01,7.80E-06
324,324,210000,0,0.01,7.80E-06
325,325,210000,0,0.01,7.80E-06
326,326,210000,0,0.01,7.80E-06
327,327,210000,0,0.01,7.80E-06
328,328,210000,0,0.01,7.80E-06
329,329,210000,0,0.01,7.80E-06
330,330,210000,0,0.01,7.80E-06
331,331,210000,0,0.01,7.80E-06
332,332,210000,0,0.01,7.80E-06
333,333,210000,0,0.01,7.80E-06
334,334,210000,0,0.01,7.80E-06
335,335,210000,0,0.01,7.80E-06
336,336,210000,0,0.01,7.80E-06
337,337,210000,0,0.01,7.80E-06
338,338,210000,0,0.01,7.80E-06
339,339,210000,0,0.01,7.80E-06
340,340,210000,0,0.01,7.80E-06
341,341,210000,0,0.01,7.80E-06
342,342,210000,0,0.01,7.80E-06
343,343,210000,0,0.01,7.80E-06
344,344,210000,0,0.01,7.80E-06
345,345,210000,0,0.01,7.80E-06
346,346,210000,0,0.01,7.80E-06
347,347,210000,0,0.01,7.80E-06
348,348,210000,0,0.01,7.80E-06
349,349,210000,0,0.01,7.80E-06
350,350,210000,0,0.01,7.80E-06
351,351,210000,0,0.01,7.80E-06
352,352,210000,0,0.01,7.80E-06
353,353,210000,0,0.01,7.80E-06
354,354,210000,0,0.01,7.80E-06
355,355,210000,0,0.01,7.80E-06
356,356,210000,0,0.01,7.80E-06
357,357,210000,0,0.01,7.80E-06
358,358,210000,0,0.01,7.80E-06
359,359,210000,0,0.01,7.80E-06
360,360,210000,0,0.01,7.80E-06
361,361,210000,0,0.01,7.80E-06
362,362,210000,0,0.01,7.80E-06
363,363,210000,0,0.01,7.80E-06
364,364,210000,0,0.01,7.80E-06
365,365,210000,0,0.01,7.80E-06
366,366,210000,0,0.01,7.80E-06
367,367,210000,0,0.01,7.80E-06
368,368,210000,0,0.01,7.80E-06
369,369,210000,0,0.01,7.80E-06
370,370,210000,0,0.01,7.80E-06
371,371,210000,0,0.01,7.80E-06
372,372,210000,0,0.01,7.80E-06
373,373,210000,0,0.01,7.80E-06
374,374,210000,0,0.01,7.80E-06
375,375,210000,0,0.01,7.80E-06
376,376,210000,0,0.01,7.80E-06
377,377,210000,0,0.01,7.80E-06
378,378,210000,0,0.01,7.80E-06
379,379,210000,0,0.01,7.80E-06
380,380,210000,0,0.01,7.80E-06
381,381,210000,0,0.01,7.80E-06
382,382,210000,0,0.01,7.80E-06
383,383,210000,0,0.01,7.80E-06
384,384,210000,0,0.01,7.80E-06
385,385,210000,0,0.01,7.80E-06
386,386,210000,0,0.01,7.80E-06
387,387,210000,0,0.01,7.80E-06
388,388,210000,0,0.01,7.80E-06
389,389,210000,0,0.01,7.80E-06
390,390,210000,0,0.01,7.80E-06
391,391,210000,0,0.01,7.80E-06
392,392,210000,0,0.01,7.80E-06
393,393,210000,0,0.01,7.80E-06
394,394,210000,0,0.01,7.80E-06
395,395,210000,0,0.01,7.80E-06
396,396,210000,0,0.01,7.80E-06
397,397,210000,0,0.01,7.80E-06
398,398,210000,0,0.01,7.80E-06
399,399,210000,0,0.01,7.80E-06
400,400,210000,0,0.01,7.80E-06
401,401,210000,0,0.01,7.80E-06
402,402,210000,0,0.01,7.80E-06
403,403,210000,0,0.01,7.80E-06
404,404,210000,0,0.01,7.80E-06
405,405,210000,0,0.01,7.80E-06
406,406,210000,0,0.01,7.80E-06
407,407,210000,0,0.01,7.80E-06
408,408,210000,0,0.01,7.80E-06
409,409,210000,0,0.01,7.80E-06
410,410,210000,0,0.01,7.80E-06
411,411,210000,0,0.01,7.80E-06
412,412,210000,0,0.01,7.80E-06
413,413,210000,0,0.01,7.80E-06
414,414,210000,0,0.01,7.80E-06
415,415,210000,0,0.01,7.80E-06
416,416,210000,0,0.01,7.80E-06
417,417,210000,0,0.01,7.80E-06
418,418,210000,0,0.01,7.80E-06
419,419,210000,0,0.01,7.80E-06
420,420,210000,0,0.01,7.80E-06
421,421,210000,0,0.01,7.80E-06
422,422,210000,0,0.01,7.80E-06
423,423,210000,0,0.01,7.80E-06
424,424,210000,0,0.01,7.80E-06
425,425,210000,0,0.01,7.80E-06
426,426,210000,0,0.01,7.80E-06
427,427,210000,0,0.01,7.80E-06
428,428,210000,0,0.01,7.80E-06
429,429,210000,0,0.01,7.80E-06
430,430,210000,0,0.01,7.80E-06
431,431,210000,0,0.01,7.80E-06
432,432,210000,0,0.01,7.80E-06
433,433,210000,0,0.01,7.80E-06
434,434,210000,0,0.01,7.80E-06
435,435,210000,0,0.01,7.80E-06
436,436,210000,0,0.01,7.80E-06
437,437,210000,0,0.01,7.80E-06
438,438,210000,0,0.01,7.80E-06
439,439,210000,0,0.01,7.80E-06
440,440,210000,0,0.01,7.80E-06
441,441,210000,0,0.01,7.80E-06
442,442,210000,0,0.01,7.80E-06
443,443,210000,0,0.01,7.80E-06
444,444,210000,0,0.01,7.80E-06
445,445,210000,0,0.01,7.80E-06
446,446,210000,0,0.01,7.80E-06
447,447,210000,0,0.01,7.80E-06
448,448,210000,0,0.01,7.80E-06
449,449,210000,0,0.01,7.80E-06
450,450,210000,0,0.01,7.80E-06
451,451,210000,0,0.01,7.80E-06
452,452,210000,0,0.01,7.80E-06
453,453,210000,0,0.01,7.80E-06
454,454,210000,0,0.01,7.80E-06
